coc_number,coc_name,year
IL-518,"Rock Island, Moline/Northwestern Illinois",2016
IL-520,Southern Illinois,2016
IL-507,"Peoria, Pekin/Fulton,Tazewell, Peoria, Woodford Counties",2016
IL-500,Mchenry County,2016
IL-519,West Central Illinois,2016
IL-516,Decatur/Macon County,2016
IL-511,Cook County,2016
IL-514,Dupage County,2016
IL-504,Madison County,2016
IL-513,Springfield/Sangamon County,2016
IL-517,"Aurora, Elgin/Kane County",2016
IL-508,"East St. Louis, Belleville/St. Clair County",2016
IL-501,"Rockford/Winnebago, Boone Counties",2016
IL-506,"Joliet, Bolingbrook/Will County",2016
IL-503,"Champaign, Urbana, Rantoul/Champaign County",2016
IL-510,Chicago,2016
IL-509,Dekalb City & County,2016
IN-502,Indiana Balance of State,2016
IN-503,Indianapolis,2016
IN-500,"South Bend, Mishawaka/St. Joseph County",2016
IA-501,Iowa Balance of State,2016
IA-502,Des Moines/Polk County,2016
IA-500,"Sioux City/Dakota, Woodbury Counties",2016
KS-507,Kansas Balance of State,2016
KS-503,Topeka/Shawnee County,2016
MO-604,"Kansas City, Independence, Lee'S Summit/Jackson County",2016
KS-502,Wichita/Sedgwick County,2016
KS-505,"Overland Park, Shawnee/Johnson County",2016
KY-500,Kentucky Balance of State,2016
KY-502,Lexington-Fayette County,2016
KY-501,Louisville-Jefferson County,2016
LA-500,Lafayette/Acadiana Regional,2016
LA-503,New Orleans/Jefferson Parish,2016
LA-504,Baton Rouge,2016
LA-509,Louisiana Balance of State,2016
LA-508,"Houma-Terrebonne, Thibodaux",2016
LA-505,Monroe/Northeast Louisiana,2016
LA-507,Alexandria/Central Louisiana,2016
LA-502,"Shreveport, Bossier/Northwest Louisiana",2016
LA-506,Slidell/Southeast Louisiana,2016
ME-500,Maine Balance of State,2016
ME-502,Portland,2016
MD-501,Baltimore,2016
MD-500,Cumberland/Allegany County,2016
MD-505,Baltimore County,2016
MD-508,"Charles, Calvert, St.Mary'S Counties",2016
MD-511,Mid-Shore Regional,2016
MD-506,Carroll County,2016
MD-507,Cecil County,2016
MD-509,Frederick City & County,2016
MD-510,Garrett County,2016
MD-502,Harford County,2016
MD-504,Howard County,2016
