year,coc_number,hic_es_total_year_round_beds,hic_es_total_non_dv_year_round_beds,hic_es_total_hmis_year_round_beds,hic_es_total_seasonal_beds,hic_es_total_overflow_beds,hic_es_total_units_for_households_with_children,hic_es_total_beds_for_households_with_children,hic_es_total_beds_for_households_without_children,hic_th_total_year_round_beds,hic_th_total_non_dv_year_round_beds,hic_th_total_hmis_year_round_beds,hic_th_total_units_for_households_with_children,hic_th_total_beds_for_households_with_children,hic_th_total_beds_for_households_without_children,hic_psh_total_year_round_beds,hic_psh_total_non_dv_year_round_beds,hic_psh_total_hmis_year_round_beds,hic_psh_total_chronic_homeless_beds,hic_psh_total_units_for_households_with_children,hic_psh_total_beds_for_households_with_children,hic_psh_total_beds_for_households_without_children,hic_sh_total_year_round_beds,hic_sh_total_non_dv_year_round_beds,hic_sh_total_hmis_year_round_beds,hic_sh_total_beds_for_households_without_children,hic_es_total_beds_for_households_with_only_children,hic_th_total_beds_for_households_with_only_children,hic_sh_total_beds_for_households_with_only_children,hic_psh_total_beds_for_households_with_only_children,hic_rrh_total_year_round_beds,hic_rrh_total_non_dv_year_round_beds,hic_rrh_total_hmis_year_round_beds,hic_rrh_total_units_for_households_with_children,hic_rrh_total_beds_for_households_with_children,hic_rrh_total_beds_for_households_without_children,hic_rrh_total_beds_for_households_with_only_children,hic_sh_total_units_for_households_with_children,hic_sh_total_beds_for_households_with_children,hic_oph_total_year_round_beds,hic_oph_total_non_dv_year_round_beds,hic_oph_total_hmis_year_round_beds,hic_oph_total_units_for_households_with_children,hic_oph_total_beds_for_households_with_children,hic_oph_total_beds_for_households_without_children,hic_oph_total_beds_for_households_with_only_children,hic_es_dedicated_veteran_beds,hic_es_dedicated_youth_beds,hic_th_dedicated_veteran_beds,hic_th_dedicated_youth_beds,hic_sh_dedicated_veteran_beds,hic_sh_dedicated_youth_beds,hic_rrh_dedicated_veteran_beds,hic_rrh_dedicated_youth_beds,hic_psh_dedicated_veteran_beds,hic_psh_dedicated_youth_beds,hic_oph_dedicated_veteran_beds,hic_oph_dedicated_youth_beds
2015,AR-500,464,348,167,0,120,31,133,331,341,301,242,28,72,269,555,555,555,,112,307,248,0,0,0,0,0,0,false,0,50,50,50,5,24,26,0,false,false,328,322,22,3,11,317,0,,,,,,,,,,,,
2016,AR-500,439,338,186,0,120,31,133,306,268,228,194,28,72,196,930,930,547,,112,311,619,0,0,0,0,0,0,false,0,107,107,107,6,21,86,0,false,false,36,30,30,3,11,25,0,,,,,,,,,,,,
2017,AR-500,471,370,218,0,120,42,167,304,203,163,107,24,58,145,931,931,552,73,112,311,620,0,0,0,0,0,0,false,0,68,68,68,6,21,47,0,false,false,23,23,23,3,11,12,0,48,0,24,14,0,0,34,0,379,0,0,0
2018,AR-500,512,335,171,0,120,71,229,283,269,229,129,24,58,211,893,893,495,0,95,268,625,0,0,0,0,0,0,false,0,122,122,122,12,35,87,0,false,false,8,8,8,0,0,8,0,29,0,49,17,0,0,55,0,398,0,0,0
2007,AR-501,202,113,74,16,36,34,90,112,116,66,66,35,86,30,16,16,16,0,0,0,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008,AR-501,180,105,105,0,0,22,64,116,113,83,78,29,83,30,40,40,40,0,0,0,40,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,AR-501,152,105,105,0,0,20,55,97,113,83,78,29,83,30,46,46,46,0,0,0,46,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,AR-501,152,105,105,0,0,20,55,97,113,113,78,29,83,30,40,40,40,0,0,0,40,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,AR-501,140,93,93,0,0,20,55,85,106,106,66,23,66,40,100,100,40,0,0,0,100,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012,AR-501,140,93,93,0,0,20,55,85,114,114,74,23,66,48,92,92,32,0,0,0,92,0,0,0,0,0,0,false,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,AR-501,275,203,122,0,151,13,43,187,158,158,125,24,66,92,130,130,45,0,0,0,130,0,0,0,0,45,0,false,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,
2014,AR-501,230,158,122,0,151,13,43,187,171,171,113,25,91,62,98,98,13,,0,0,98,0,0,0,0,0,18,false,0,74,74,74,27,55,19,0,false,false,0,0,0,0,0,0,0,,,,,,,,,,,,
2015,AR-501,269,198,132,0,160,16,61,208,213,213,121,28,119,76,98,98,13,,0,0,98,0,0,0,0,0,18,false,0,74,74,74,27,55,19,0,false,false,0,0,0,0,0,0,0,,,,,,,,,,,,
2016,AR-501,243,168,132,74,0,16,76,167,220,220,90,22,101,81,164,164,8,,33,58,106,0,0,0,0,0,38,false,0,64,64,64,24,40,24,0,false,false,0,0,0,0,0,0,0,,,,,,,,,,,,
2017,AR-501,186,111,93,25,0,22,98,88,185,185,84,27,78,75,134,134,0,95,13,39,95,0,0,0,0,0,32,false,0,158,158,158,15,141,17,0,false,false,15,15,0,3,8,7,0,16,69,18,87,0,0,158,0,134,0,0,0
2018,AR-501,228,133,107,0,0,23,126,102,226,211,37,36,105,113,218,218,71,10,149,210,8,0,0,0,0,0,8,false,0,0,0,0,0,0,0,0,false,false,0,0,0,0,0,0,0,18,18,7,34,0,0,0,0,147,0,0,0
2007,AR-502,55,0,37,0,0,8,33,22,71,71,27,3,9,62,9,0,0,0,0,0,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008,AR-502,55,0,0,0,0,8,33,22,71,71,15,3,9,62,9,9,0,0,0,0,9,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,AR-502,37,0,0,0,0,6,27,10,71,71,15,3,9,62,9,9,0,0,0,0,9,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,AR-503,590,424,293,0,0,53,237,353,364,340,168,48,75,289,124,120,3,7,26,31,93,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,AR-503,574,435,278,0,0,139,277,297,321,297,165,55,72,249,111,107,3,7,26,31,80,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012,AR-503,633,513,316,0,0,148,311,322,301,277,146,55,70,231,130,126,3,7,26,31,99,0,0,0,0,0,0,false,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,AR-503,628,493,294,0,31,86,251,377,130,106,94,30,49,81,13,13,8,3,0,0,13,0,0,0,0,0,0,false,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,
2014,AR-503,517,417,255,0,31,35,209,308,76,76,44,5,15,61,44,44,39,,5,18,26,0,0,0,0,0,0,false,0,0,0,0,0,0,0,0,false,false,0,0,0,0,0,0,0,,,,,,,,,,,,
2015,AR-503,464,314,202,0,31,32,197,267,136,136,93,12,37,99,39,39,39,,5,18,21,0,0,0,0,0,0,false,0,0,0,0,0,0,0,0,false,false,0,0,0,0,0,0,0,,,,,,,,,,,,
2016,AR-503,509,359,247,0,31,35,209,300,91,91,48,9,25,66,39,39,39,,5,18,21,0,0,0,0,0,0,false,0,108,108,108,21,72,36,0,false,false,0,0,0,0,0,0,0,,,,,,,,,,,,
2017,AR-503,471,321,191,0,0,35,209,262,93,93,50,9,25,68,42,42,42,0,5,18,24,0,0,0,0,0,0,false,0,117,117,117,24,76,41,0,false,false,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,AR-503,487,291,191,0,0,41,235,252,87,87,50,10,35,52,21,21,21,0,0,0,21,0,0,0,0,0,0,false,0,52,52,52,28,51,1,0,false,false,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007,AR-504,226,32,181,0,20,26,149,77,45,45,45,0,0,45,55,50,55,0,0,0,55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008,AR-504,182,59,70,0,13,28,89,93,53,53,53,0,0,53,55,55,55,0,0,0,55,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,AR-504,139,50,40,0,6,25,62,77,53,53,53,0,0,53,55,55,55,0,0,0,55,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,AR-504,126,40,40,0,9,23,49,77,85,85,53,8,32,53,50,50,50,0,0,0,50,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,AR-504,132,49,26,0,6,27,75,57,52,52,20,0,0,52,117,117,59,0,14,18,99,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012,AR-504,140,50,26,0,20,33,86,54,38,38,20,0,0,38,127,127,59,0,14,18,109,0,0,0,0,0,0,false,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,AR-504,154,64,26,0,3,27,103,51,122,122,20,0,0,122,86,86,59,0,14,17,69,0,0,0,0,0,0,false,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,
2015,AR-504,154,75,30,0,8,75,144,0,24,24,5,13,24,0,0,0,0,,0,0,0,0,0,0,0,10,0,false,0,0,0,0,0,0,0,0,false,false,0,0,0,0,0,0,0,,,,,,,,,,,,
2016,AR-504,154,65,10,0,8,75,144,0,24,24,0,13,24,0,0,0,0,,0,0,0,0,0,0,0,10,0,false,0,0,0,0,0,0,0,0,false,false,0,0,0,0,0,0,0,,,,,,,,,,,,
2018,AR-504,65,37,0,0,0,0,0,59,6,6,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,6,0,false,0,0,0,0,0,0,0,0,false,false,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0
2007,AR-505,145,38,61,17,6,18,55,90,14,0,0,5,12,2,24,24,24,12,4,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008,AR-505,145,55,61,0,6,15,46,99,14,0,0,5,12,2,24,24,24,12,4,12,12,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,AR-505,145,55,61,0,6,15,46,99,14,0,0,5,12,2,24,24,24,12,4,12,12,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,AR-505,125,61,61,0,6,13,41,84,14,0,0,5,12,2,24,24,24,12,4,12,12,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,AR-505,152,61,61,0,6,22,68,84,34,18,10,7,22,12,24,24,24,12,4,12,12,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012,AR-505,105,61,0,0,0,10,32,58,24,12,0,10,12,12,16,16,0,0,4,4,12,0,0,0,0,15,0,false,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,AR-505,140,61,0,0,0,17,70,55,24,12,0,10,12,12,16,16,0,0,4,4,12,0,0,0,0,15,0,false,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,
2014,AR-505,182,86,15,0,0,24,77,90,24,12,0,10,12,12,16,16,0,,4,4,12,0,0,0,0,15,0,false,0,0,0,0,0,0,0,0,false,false,0,0,0,0,0,0,0,,,,,,,,,,,,
2015,AR-505,190,94,15,0,0,25,80,95,24,12,0,10,12,12,16,16,0,,4,4,12,0,0,0,0,15,0,false,0,0,0,0,0,0,0,0,false,false,0,0,0,0,0,0,0,,,,,,,,,,,,
2016,AR-505,199,103,0,0,0,25,80,95,24,12,0,10,12,12,16,16,0,,4,4,12,0,0,0,0,24,0,false,0,0,0,0,0,0,0,0,false,false,0,0,0,0,0,0,0,,,,,,,,,,,,
2017,AR-505,199,103,0,0,0,25,80,95,24,12,0,10,12,12,16,16,0,0,4,4,12,0,0,0,0,24,0,false,0,0,0,0,0,0,0,0,false,false,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0
2018,AR-505,187,95,0,0,0,23,75,88,12,0,0,8,8,4,16,16,0,16,4,4,12,0,0,0,0,24,0,false,0,0,0,0,0,0,0,0,false,false,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0
2007,AR-506,23,3,23,0,2,5,10,13,76,76,20,0,0,76,694,694,0,0,79,239,455,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008,AR-506,23,3,5,0,2,5,10,13,76,76,76,0,0,76,694,694,0,113,59,239,455,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,AR-506,23,3,5,0,2,5,10,13,76,76,76,0,0,76,694,694,0,113,59,239,455,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,AR-507,49,41,13,0,0,3,8,41,30,30,25,9,25,5,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,AR-507,68,53,17,0,0,20,27,41,37,37,25,9,25,12,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012,AR-507,68,53,17,0,0,20,27,41,37,37,25,9,25,12,0,0,0,0,0,0,0,0,0,0,0,0,0,false,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007,AR-508,195,165,134,0,10,18,47,148,62,62,51,4,8,54,8,8,8,4,0,0,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,AR-508,105,105,0,0,0,1,10,95,27,27,0,1,6,21,0,0,0,,0,0,0,0,0,0,0,0,0,false,0,0,0,0,0,0,0,0,false,false,0,0,0,0,0,0,0,,,,,,,,,,,,
2015,AR-508,153,113,0,0,0,21,50,103,21,21,0,1,6,15,0,0,0,,0,0,0,0,0,0,0,0,0,false,0,0,0,0,0,0,0,0,false,false,0,0,0,0,0,0,0,,,,,,,,,,,,
2016,AR-508,154,114,0,0,0,21,50,104,24,24,0,1,9,15,0,0,0,,0,0,0,0,0,0,0,0,0,false,0,0,0,0,0,0,0,0,false,false,0,0,0,0,0,0,0,,,,,,,,,,,,
2017,AR-508,154,114,0,0,0,21,50,104,24,24,0,1,9,15,0,0,0,0,0,0,0,0,0,0,0,0,0,false,0,0,0,0,0,0,0,0,false,false,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0
2018,AR-508,259,219,0,0,0,21,50,209,24,24,0,1,9,15,0,0,0,0,0,0,0,0,0,0,0,0,0,false,0,0,0,0,0,0,0,0,false,false,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0
2007,AR-509,94,69,47,0,2,15,32,62,98,71,0,16,41,57,38,25,25,3,10,27,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007,AR-510,102,80,102,0,0,15,39,63,22,22,22,6,12,10,37,37,4,0,7,37,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,AR-512,30,0,0,0,0,6,26,4,23,23,0,3,12,11,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,AR-512,30,0,0,0,0,6,26,4,23,23,23,3,12,11,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012,AR-512,30,0,0,0,0,6,26,4,23,23,23,3,12,11,0,0,0,0,0,0,0,0,0,0,0,0,0,false,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,AR-512,30,0,0,0,0,6,26,4,30,30,30,3,19,11,0,0,0,0,0,0,0,0,0,0,0,0,0,false,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,
2014,AR-512,28,0,0,0,6,6,22,6,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,false,0,0,0,0,0,0,0,0,false,false,0,0,0,0,0,0,0,,,,,,,,,,,,
2015,AR-512,33,0,0,0,1,9,28,5,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,false,0,0,0,0,0,0,0,0,false,false,0,0,0,0,0,0,0,,,,,,,,,,,,
2016,AR-512,33,0,0,0,1,9,28,5,12,12,0,3,12,0,0,0,0,,0,0,0,0,0,0,0,0,0,false,0,0,0,0,0,0,0,0,false,false,0,0,0,0,0,0,0,,,,,,,,,,,,
2017,AR-512,32,0,0,0,1,11,31,1,20,20,0,5,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false,0,0,0,0,0,0,0,0,false,false,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2007,AZ-500,791,330,283,25,40,135,497,294,725,594,537,121,408,317,315,315,312,186,31,87,228,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008,AZ-500,801,326,319,86,2,161,530,271,754,583,504,132,443,311,373,373,343,198,31,87,286,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,AZ-500,809,371,354,2,17,148,527,282,595,443,386,124,353,242,420,420,359,176,48,143,277,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,AZ-500,897,404,373,2,51,124,464,433,613,466,423,127,389,224,403,403,403,138,43,134,269,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,AZ-500,973,500,344,0,157,150,498,475,708,580,471,115,377,331,461,461,395,138,44,156,305,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012,AZ-500,1038,643,325,140,164,136,446,592,714,519,446,137,415,293,468,468,330,95,65,150,318,0,0,0,0,0,6,false,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,AZ-500,929,530,417,80,119,122,522,401,566,494,400,109,353,200,626,626,470,38,127,236,390,0,0,0,0,6,13,false,0,3,3,3,1,3,0,0,,,,,,,,,,,,,,,,,,,,,
2014,AZ-500,1055,577,383,142,79,113,659,380,387,343,313,70,257,125,823,823,495,,145,363,460,0,0,0,0,16,5,false,0,34,34,33,12,31,3,0,false,false,47,47,24,5,7,40,0,,,,,,,,,,,,
2015,AZ-500,926,572,495,0,0,104,385,515,256,234,233,43,139,115,409,409,408,,50,156,253,0,0,0,0,26,2,false,0,380,380,317,84,255,125,0,false,false,630,630,273,105,294,336,0,,,,,,,,,,,,
2016,AZ-500,780,483,367,0,130,85,307,450,278,252,196,48,178,95,1106,1106,527,,184,547,559,0,0,0,0,23,5,false,0,486,486,486,67,204,282,0,false,false,114,114,114,5,11,103,0,,,,,,,,,,,,
2017,AZ-500,861,509,407,0,158,57,273,563,191,191,191,26,86,105,1179,1179,650,343,166,631,548,0,0,0,0,25,0,false,0,147,147,139,19,61,86,0,false,false,0,0,0,0,0,0,0,0,26,53,0,0,0,62,0,553,0,0,0
2018,AZ-500,944,549,448,0,0,100,318,606,305,186,186,41,169,133,1134,1134,1134,564,164,570,564,0,0,0,0,20,3,false,0,562,562,562,102,375,187,0,false,false,0,0,0,0,0,0,0,12,20,63,12,0,0,101,0,565,0,0,0
2007,AZ-501,691,572,529,59,26,61,237,454,1514,1450,1209,201,691,823,690,618,664,111,75,239,451,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008,AZ-501,749,650,196,187,0,70,253,496,1766,1734,1440,232,814,952,622,608,585,115,56,167,455,15,15,15,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,AZ-501,631,497,330,59,252,69,254,377,1696,1617,1399,288,1090,606,977,929,754,96,133,365,612,15,15,15,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,AZ-501,577,473,431,199,110,65,235,342,1560,1521,1431,249,953,607,1092,1020,873,116,148,410,682,15,15,15,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,AZ-501,607,490,458,219,33,73,193,414,1295,1267,1259,239,738,557,1056,1006,757,91,141,365,691,15,15,15,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012,AZ-501,677,557,527,145,44,88,269,408,1153,1122,1122,223,702,451,1148,1148,834,118,114,352,796,15,15,15,15,0,0,false,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,AZ-501,665,615,583,124,84,88,275,390,1108,1080,1080,186,567,540,1442,1442,977,197,184,471,971,15,15,15,15,0,1,false,0,80,63,63,23,64,16,0,,,,,,,,,,,,,,,,,,,,,
2014,AZ-501,704,653,627,87,43,102,295,409,1128,1100,1100,162,516,604,1080,1080,1080,,144,431,649,15,15,15,15,0,8,false,0,407,311,311,105,308,99,0,false,false,637,637,0,91,273,364,0,,,,,,,,,,,,
2015,AZ-501,676,625,599,133,45,79,237,435,1258,1231,1231,166,548,694,1753,1753,1101,,179,585,1168,15,15,15,15,4,16,false,0,291,229,229,66,205,86,0,false,false,0,0,0,0,0,0,0,,,,,,,,,,,,
2016,AZ-501,782,729,691,130,69,77,252,520,1032,1011,1011,162,527,489,1798,1798,1058,,194,616,1182,15,15,15,15,10,16,false,0,525,490,490,131,435,90,0,false,false,0,0,0,0,0,0,0,,,,,,,,,,,,
2017,AZ-501,768,715,676,97,95,81,266,498,516,496,496,68,215,301,2024,2024,1210,298,182,620,1404,15,15,15,15,4,0,false,0,301,256,256,61,208,93,0,false,false,0,0,0,0,0,0,0,65,8,115,55,0,0,42,0,814,36,0,0
2018,AZ-501,760,707,681,139,36,73,232,524,421,402,402,70,215,206,1853,1853,1059,169,161,522,1331,15,15,15,15,4,0,false,0,693,636,634,136,519,174,0,false,false,0,0,0,0,0,0,0,61,8,106,72,0,0,28,0,794,35,0,0
2007,AZ-502,2254,1760,1605,0,63,313,953,1301,3358,3059,2200,579,1879,1479,2014,2014,1892,568,261,740,1274,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008,AZ-502,2694,2041,1393,0,63,322,1223,1471,2999,2691,2210,607,2006,993,2523,2523,2503,552,267,824,1699,25,25,25,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,AZ-502,2571,1861,1380,0,63,339,1236,1335,2724,2316,2139,572,1930,794,2529,2529,2472,466,65,839,1690,25,25,25,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,AZ-502,2637,1961,1429,0,63,358,1227,1410,2590,2314,2145,534,1834,756,3013,3013,3005,547,338,1077,1936,25,25,25,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,AZ-502,2511,1879,1394,0,63,341,1130,1381,2614,2297,2107,582,1833,781,3214,3214,3164,597,331,1061,2153,25,25,25,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012,AZ-502,2556,1860,1716,0,63,357,1200,1356,3060,2815,2335,648,2116,944,4479,4479,3615,644,494,1552,2927,25,25,25,25,0,0,false,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,AZ-502,2579,1826,1628,0,111,353,1170,1409,2896,2658,2244,576,1944,952,4717,4717,3483,734,469,1484,3233,25,25,25,25,0,0,false,0,116,116,116,45,116,0,0,,,,,,,,,,,,,,,,,,,,,
2014,AZ-502,2722,2075,1759,0,312,421,1268,1442,2837,2623,1841,550,1850,983,5455,5455,3993,,547,2000,3455,25,25,25,25,12,4,false,0,116,116,116,45,116,0,0,false,false,23,23,23,3,12,11,0,,,,,,,,,,,,
2015,AZ-502,2090,1713,1609,0,35,316,874,1165,2227,2014,1473,482,1229,993,4627,4627,3632,,443,1368,3259,25,25,25,25,51,5,false,0,872,872,872,200,616,256,0,false,false,692,692,692,131,652,40,0,,,,,,,,,,,,
2016,AZ-502,2360,1920,1725,0,2,283,933,1383,1670,1478,1373,342,1146,507,4600,4600,3521,,418,1362,3238,25,25,25,25,44,17,false,0,891,891,891,201,637,254,0,false,false,1206,1206,1206,225,990,216,0,,,,,,,,,,,,
2017,AZ-502,2237,1782,1762,0,18,261,960,1245,1271,1167,1022,228,800,471,5422,5422,4265,1617,504,1754,3668,21,21,21,21,32,0,false,0,1088,1088,1088,210,735,353,0,false,false,1076,1076,1076,198,873,203,0,16,60,218,26,0,0,144,46,1155,14,25,32
2018,AZ-502,2354,1997,1813,0,17,294,1001,1329,1862,1715,1045,372,1162,700,6268,6268,5188,1812,529,1507,4761,22,22,22,22,24,0,false,0,1267,1267,1267,218,850,417,0,false,false,1086,1086,1086,259,901,185,0,33,34,212,88,22,0,166,1,1145,38,29,10
2007,CA-500,744,682,663,250,0,86,320,424,1445,1304,1298,295,1064,381,1170,1170,1005,244,247,724,446,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008,CA-500,731,669,648,298,8,74,288,443,1160,1028,996,217,788,372,1462,1462,1254,285,273,971,491,10,10,10,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,CA-500,788,727,706,346,0,74,281,507,1116,1001,953,230,802,314,1300,1300,1288,297,209,773,527,10,10,10,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,CA-500,675,614,614,471,0,75,280,395,1108,977,945,230,715,393,2106,2106,2064,625,413,1326,780,10,10,10,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,CA-500,661,600,588,471,4,89,303,358,1172,1057,1005,254,773,399,2493,2493,1090,1526,462,1479,1014,10,10,10,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012,CA-500,756,695,693,346,29,67,252,504,1028,1028,795,200,600,428,3183,3024,646,407,522,1767,1416,10,10,10,10,0,0,false,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,CA-500,587,545,545,321,77,54,192,375,1214,1052,879,243,755,459,3338,3301,1006,710,446,1429,1909,10,10,10,10,20,0,false,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,
2014,CA-500,593,522,476,336,5,111,257,314,1141,1141,1001,198,619,522,3683,3505,1735,,470,1602,2081,10,10,10,10,22,0,false,0,194,194,94,135,176,18,0,false,false,0,0,0,0,0,0,0,,,,,,,,,,,,
2015,CA-500,622,559,559,351,1,60,207,395,1374,1374,1314,201,689,685,2794,2599,1511,,378,1222,1572,10,10,10,10,20,0,false,0,6,6,4,2,4,2,0,false,false,0,0,0,0,0,0,0,,,,,,,,,,,,
2016,CA-500,623,575,574,294,0,59,174,436,1226,1226,1173,159,554,672,2822,2641,1797,,422,1310,1512,10,10,10,10,13,0,false,0,358,358,358,102,207,151,0,false,false,0,0,0,0,0,0,0,,,,,,,,,,,,
2017,CA-500,654,595,595,571,0,59,205,437,998,998,998,144,557,441,4275,4084,2698,1867,466,1618,2657,0,0,0,0,12,0,false,0,532,520,520,102,345,187,0,false,false,0,0,0,0,0,0,0,50,12,149,75,0,0,55,1,1315,63,0,0
2018,CA-500,746,687,687,641,0,74,250,484,814,800,800,105,400,408,4220,4029,2541,1649,455,1683,2537,20,20,20,20,12,6,false,0,834,814,814,175,606,228,0,false,false,0,0,0,0,0,0,0,59,12,117,73,20,0,100,33,1377,56,0,0
2007,CA-501,1724,1646,1516,155,18,136,447,1277,757,669,515,112,377,380,4995,4995,4086,2698,378,1118,3877,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008,CA-501,1640,1567,1411,196,5,125,405,1235,674,586,481,100,327,347,5233,5233,4334,2790,420,1223,4010,25,25,25,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,CA-501,1944,1871,1515,164,5,117,380,1564,679,608,565,95,310,369,6043,6043,5241,3203,420,1223,4820,25,25,25,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,CA-501,1792,1717,1486,189,0,97,365,1427,744,692,681,96,310,434,6710,6710,6274,3568,514,1358,5352,25,25,25,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
